"code_pnt","pntname","State","lat_deg","lat_min","lat_sec","lng_deg","lng_min","lng_sec","series","DistSpec","DistCalcGCM_TDPF","DistCalcGCM_UK","DistCalcGCM_Intl","DistCalcGEOD","DistGen","notes","system","MyPoint","Club","DistCalcGCM_TDPFyds","DistCalcGCM_UKyds","DistCalcGCM_Intlyds","DistCalcGEODyds","DistType"
"TARA","TARA","QLD",27,16,40,150,27,30,"North/West",,,156032.92935534,,0,,"","False","","",,,,,""
"THALL","THALLON","QLD",28,38,15,148,52,11,"North/West",,,321304.666854072,,0,,"","False","","",,,,,""
"THANE","THANE","QLD",28,9,48,151,41,52,"South",,,58582.6969661257,,0,,"","False","","",,,,,""
"TIARO","TIARO","QLD",25,43,30,152,34,58,"North",,,227155.572819498,,0,,"","False","","",,,,,""
"TOWNS","TOWNSVILLE","QLD",19,15,55,146,49,30,"North",,,1073210.28882021,,0,,"","False","","",,,,,""
"TWEB","WEB PARK","QLD",27,33,30,151,55,46,"TOSS",,,0,,0,,"","False","","",,,,,""
"WANDO","WANDOAN","QLD",26,7,22,149,57,41,"West",,,264784.666154111,,0,,"","False","","",,,,,""
"WARRA","WARRA","QLD",26,55,49,150,55,13,"West",,,133965.797426281,,0,,"","False","","",,,,,""
"WARWI","WARWICK","QLD",28,13,0,152,2,24,"South",,,58478.5268720756,,0,,"","False","","",,,,,""
"WESTB","WESTBROOK","QLD",27,36,17,151,52,16,"TOSS",,,13894.7481200289,,0,,"","False","","",,,,,""
"WESTM","WESTMAR","QLD",27,55,0,149,43,0,"West",,,222862.902415347,,0,,"","False","","",,,,,""
"WINDO","WINDORAH","QLD",25,25,25,142,39,20,"West",,,959402.724125096,,0,,"","False","","",,,,,""
"WINTO","WINTON","QLD",22,23,11,143,2,25,"North/West",,,1074789.76101282,,0,,"","False","","",,,,,""
"WITHC","WITHCOTT","QLD",27,33,20,152,1,30,"TOSS",,,16338.457705117,,0,,"","False","","",,,,,""
"WYAND","WYANDRA","QLD",27,15,4,145,58,42,"West",,,592775.555995785,,0,,"","False","","",,,,,""
"WYREE","WYREEMA","QLD",27,39,29,151,51,20,"TOSS",,,11931.868976518,,0,,"","False","","",,,,,""
